SiteName,Humidity,Temperature,Noise,PM2_5,PM10,ReceivedTime,ReportedTime-UTC
IOB-Air-Gen4-12062024,51.7,12.3,0,0,0,"1/16/2025, 10:41:46",2025-01-16T16:41:45.939Z
IOB-Air-Gen4-12062024,52.9,12.1,0,1,1,"1/16/2025, 10:41:06",2025-01-16T16:41:05.956Z
G-TH,55.2,12.8,0,4,4,"1/16/2025, 10:38:58",2025-01-16T16:38:58.497Z
G-TH,56.9,12.7,0,5,6,"1/16/2025, 10:38:28",2025-01-16T16:38:28.499Z
G-TH,56.1,12.6,0,4,4,"1/16/2025, 10:37:58",2025-01-16T16:37:58.498Z
G-TH,56.8,12.6,0,4,6,"1/16/2025, 10:37:29",2025-01-16T16:37:28.485Z
G-TH,58.1,12.4,0,5,6,"1/16/2025, 10:36:58",2025-01-16T16:36:58.462Z
G-TH,57.6,12.2,0,6,7,"1/16/2025, 10:36:28",2025-01-16T16:36:28.450Z
G-TH,56.0,12.1,0,6,7,"1/16/2025, 10:35:58",2025-01-16T16:35:58.475Z
IOB-Air-Gen4-12062024,54.4,12.2,0,0,0,"1/16/2025, 10:35:46",2025-01-16T16:35:45.875Z
G-TH,55.7,12.0,0,4,6,"1/16/2025, 10:35:29",2025-01-16T16:35:28.487Z
IOB-Air-Gen4-12062024,0.0,0.0,0,5,6,"1/16/2025, 10:35:05",2025-01-16T16:35:05.901Z
G-TH,54.7,12.1,0,2,2,"1/16/2025, 10:34:58",2025-01-16T16:34:58.426Z
G-TH,55.2,12.2,0,4,4,"1/16/2025, 10:34:28",2025-01-16T16:34:28.438Z
G-TH,54.5,12.6,0,4,7,"1/16/2025, 10:28:58",2025-01-16T16:28:58.293Z
G-TH,54.3,12.6,0,5,6,"1/16/2025, 10:28:28",2025-01-16T16:28:28.330Z
G-TH,53.7,12.5,0,4,4,"1/16/2025, 10:27:58",2025-01-16T16:27:58.268Z
G-TH,55.9,12.5,0,5,6,"1/16/2025, 10:27:28",2025-01-16T16:27:28.249Z
G-TH,56.7,12.4,0,4,4,"1/16/2025, 10:26:58",2025-01-16T16:26:58.238Z
G-TH,55.0,12.3,0,5,7,"1/16/2025, 10:26:28",2025-01-16T16:26:28.232Z
G-TH,54.1,12.5,0,5,6,"1/16/2025, 10:25:58",2025-01-16T16:25:58.222Z
G-TH,54.4,12.5,0,5,6,"1/16/2025, 10:25:28",2025-01-16T16:25:28.218Z
G-TH,54.9,12.5,0,4,4,"1/16/2025, 10:24:58",2025-01-16T16:24:58.211Z
G-TH,55.6,12.5,0,4,4,"1/16/2025, 10:24:28",2025-01-16T16:24:28.256Z
IOB-Air-Gen4-12062024,58.5,11.4,0,0,0,"1/16/2025, 10:23:46",2025-01-16T16:23:45.760Z
G-TH,56.9,12.1,0,5,6,"1/16/2025, 10:18:58",2025-01-16T16:18:58.157Z
G-TH,56.9,12.0,0,5,6,"1/16/2025, 10:18:28",2025-01-16T16:18:28.114Z
G-TH,56.4,11.8,0,4,4,"1/16/2025, 10:17:58",2025-01-16T16:17:58.133Z
IOB-Air-Gen4-12062024,56.6,11.1,0,0,0,"1/16/2025, 10:17:45",2025-01-16T16:17:45.687Z
G-TH,55.9,11.7,0,5,6,"1/16/2025, 10:17:28",2025-01-16T16:17:28.100Z
G-TH,56.1,11.6,0,5,7,"1/16/2025, 10:16:58",2025-01-16T16:16:58.095Z
G-TH,56.8,11.5,0,4,4,"1/16/2025, 10:16:28",2025-01-16T16:16:28.107Z
G-TH,55.8,11.5,0,5,6,"1/16/2025, 10:15:58",2025-01-16T16:15:58.068Z
G-TH,57.1,11.5,0,5,6,"1/16/2025, 10:15:28",2025-01-16T16:15:28.052Z
G-TH,58.0,11.4,0,4,4,"1/16/2025, 10:14:58",2025-01-16T16:14:58.048Z
G-TH,57.1,11.1,0,5,6,"1/16/2025, 10:14:28",2025-01-16T16:14:28.016Z
IOB-Air-Gen4-12062024,61.7,10.5,0,0,0,"1/16/2025, 10:11:46",2025-01-16T16:11:45.665Z
G-TH,58.0,11.0,0,5,6,"1/16/2025, 10:08:58",2025-01-16T16:08:57.913Z
G-TH,57.7,10.8,0,5,6,"1/16/2025, 10:08:28",2025-01-16T16:08:27.952Z
G-TH,58.4,10.8,0,4,6,"1/16/2025, 10:07:58",2025-01-16T16:07:57.878Z
G-TH,58.3,10.5,0,5,6,"1/16/2025, 10:07:28",2025-01-16T16:07:27.873Z
G-TH,58.5,10.3,0,6,7,"1/16/2025, 10:06:58",2025-01-16T16:06:57.853Z
G-TH,58.1,10.2,0,4,6,"1/16/2025, 10:06:28",2025-01-16T16:06:27.891Z
G-TH,58.8,10.3,0,4,6,"1/16/2025, 10:05:58",2025-01-16T16:05:57.831Z
IOB-Air-Gen4-12062024,60.9,9.8,0,0,0,"1/16/2025, 10:05:46",2025-01-16T16:05:45.571Z
G-TH,58.9,10.1,0,5,6,"1/16/2025, 10:05:28",2025-01-16T16:05:27.856Z
G-TH,59.7,10.1,0,4,4,"1/16/2025, 10:04:58",2025-01-16T16:04:57.807Z
G-TH,59.2,9.9,0,5,6,"1/16/2025, 10:04:28",2025-01-16T16:04:27.810Z
IOB-Air-Gen4-12062024,62.2,10.0,0,0,0,"1/16/2025, 09:59:45",2025-01-16T15:59:45.532Z
G-TH,58.0,10.2,0,5,7,"1/16/2025, 09:58:58",2025-01-16T15:58:57.701Z
G-TH,58.5,10.0,0,5,6,"1/16/2025, 09:58:28",2025-01-16T15:58:27.685Z
G-TH,59.1,9.8,0,4,4,"1/16/2025, 09:57:58",2025-01-16T15:57:57.680Z
G-TH,58.8,9.7,0,5,6,"1/16/2025, 09:57:27",2025-01-16T15:57:27.671Z
G-TH,57.3,9.6,0,6,7,"1/16/2025, 09:56:58",2025-01-16T15:56:57.670Z
G-TH,57.3,10.0,0,4,6,"1/16/2025, 09:56:27",2025-01-16T15:56:27.679Z
G-TH,57.3,10.1,0,4,4,"1/16/2025, 09:55:57",2025-01-16T15:55:57.674Z
G-TH,57.1,10.1,0,4,4,"1/16/2025, 09:55:28",2025-01-16T15:55:27.652Z
G-TH,57.6,10.0,0,4,4,"1/16/2025, 09:54:58",2025-01-16T15:54:57.641Z
G-TH,58.4,9.8,0,2,2,"1/16/2025, 09:54:27",2025-01-16T15:54:27.625Z
IOB-Air-Gen4-12062024,62.9,9.7,0,0,1,"1/16/2025, 09:54:25",2025-01-16T15:54:25.481Z
IOB-Air-Gen4-12062024,65.6,9.6,0,0,0,"1/16/2025, 09:53:45",2025-01-16T15:53:45.445Z
G-TH,57.6,10.0,0,5,6,"1/16/2025, 09:48:57",2025-01-16T15:48:57.526Z
G-TH,57.5,9.8,0,5,6,"1/16/2025, 09:48:28",2025-01-16T15:48:27.506Z
G-TH,57.2,9.7,0,3,4,"1/16/2025, 09:47:57",2025-01-16T15:47:57.492Z
IOB-Air-Gen4-12062024,64.6,8.7,0,0,0,"1/16/2025, 09:48:29",2025-01-16T15:47:45.389Z
G-TH,57.6,9.6,0,4,6,"1/16/2025, 09:47:27",2025-01-16T15:47:27.522Z
G-TH,57.7,9.5,0,4,6,"1/16/2025, 09:46:58",2025-01-16T15:46:57.461Z
G-TH,57.4,9.5,0,4,4,"1/16/2025, 09:46:28",2025-01-16T15:46:27.452Z
G-TH,56.8,9.7,0,4,4,"1/16/2025, 09:45:57",2025-01-16T15:45:57.442Z
G-TH,56.9,9.8,0,5,6,"1/16/2025, 09:45:27",2025-01-16T15:45:27.420Z
G-TH,57.5,9.9,0,4,4,"1/16/2025, 09:44:57",2025-01-16T15:44:57.450Z
G-TH,58.2,9.8,0,3,3,"1/16/2025, 09:44:27",2025-01-16T15:44:27.406Z
IOB-Air-Gen4-12062024,64.9,8.4,0,0,0,"1/16/2025, 09:42:25",2025-01-16T15:42:25.381Z
IOB-Air-Gen4-12062024,65.1,8.4,0,0,0,"1/16/2025, 09:41:45",2025-01-16T15:41:45.325Z
G-TH,55.6,9.7,0,4,4,"1/16/2025, 09:38:27",2025-01-16T15:38:27.353Z
G-TH,55.6,9.5,0,4,6,"1/16/2025, 09:37:57",2025-01-16T15:37:57.352Z
G-TH,56.5,9.3,0,5,7,"1/16/2025, 09:37:27",2025-01-16T15:37:27.390Z
G-TH,56.9,9.1,0,5,6,"1/16/2025, 09:36:57",2025-01-16T15:36:57.354Z
G-TH,56.8,8.9,0,4,4,"1/16/2025, 09:36:27",2025-01-16T15:36:27.353Z
IOB-Air-Gen4-12062024,63.4,8.7,0,0,0,"1/16/2025, 09:36:25",2025-01-16T15:36:25.313Z
G-TH,56.7,8.9,0,4,4,"1/16/2025, 09:35:57",2025-01-16T15:35:57.356Z
IOB-Air-Gen4-12062024,64.4,8.7,0,1,1,"1/16/2025, 09:35:45",2025-01-16T15:35:45.320Z
G-TH,57.8,9.0,0,2,4,"1/16/2025, 09:35:27",2025-01-16T15:35:27.357Z
G-TH,56.9,8.7,0,4,4,"1/16/2025, 09:34:57",2025-01-16T15:34:57.352Z
G-TH,56.6,8.6,0,3,3,"1/16/2025, 09:34:27",2025-01-16T15:34:27.355Z
G-TH,0.0,0.0,0,2,2,"1/16/2025, 09:33:57",2025-01-16T15:33:57.350Z
IOB-Air-Gen4-12062024,65.4,8.6,0,0,0,"1/16/2025, 09:30:25",2025-01-16T15:30:25.252Z
IOB-Air-Gen4-12062024,64.4,8.4,0,1,1,"1/16/2025, 09:29:45",2025-01-16T15:29:45.292Z
G-TH,58.7,8.7,0,5,6,"1/16/2025, 09:28:27",2025-01-16T15:28:27.350Z
G-TH,59.3,9.0,0,5,6,"1/16/2025, 09:27:57",2025-01-16T15:27:57.355Z
G-TH,58.9,8.7,0,4,6,"1/16/2025, 09:27:27",2025-01-16T15:27:27.348Z
G-TH,58.8,8.7,0,4,9,"1/16/2025, 09:26:57",2025-01-16T15:26:57.354Z
G-TH,58.5,8.6,0,4,6,"1/16/2025, 09:26:27",2025-01-16T15:26:27.350Z
