"SiteName","ReportedTime-UTC","VOC","O3","SO2","NO2","ReceivedTime"
"G-VOC","2025-01-16T16:38:26.758Z","2.276","0.0508","0.2352","0.002","1/16/2025, 10:38:27"
"G-VOC","2025-01-16T16:37:58.746Z","2.244","0.0504","0.2332","0.0016","1/16/2025, 10:37:58"
"G-VOC","2025-01-16T16:37:30.742Z","2.264","0.0504","0.2348","0.0016","1/16/2025, 10:37:30"
"G-VOC","2025-01-16T16:37:02.789Z","2.324","0.0496","0.2328","0.002","1/16/2025, 10:37:03"
"G-VOC","2025-01-16T16:36:34.738Z","2.296","0.0488","0.2328","0.002","1/16/2025, 10:36:34"
"G-VOC","2025-01-16T16:36:06.736Z","2.256","0.0484","0.234","0.0024","1/16/2025, 10:36:07"
"G-VOC","2025-01-16T16:35:38.726Z","2.232","0.048","0.2372","0.002","1/16/2025, 10:35:38"
"IOB-Air-Gen4-12062024","2025-01-16T16:35:35.853Z","2.088","0.0484","0.2872","0","1/16/2025, 10:35:35"
"G-VOC","2025-01-16T16:35:10.743Z","2.2","0.0484","0.2428","0.0012","1/16/2025, 10:35:11"
"G-VOC","2025-01-16T16:34:42.754Z","2.176","0.048","0.2416","0.0012","1/16/2025, 10:34:43"
"G-VOC","2025-01-16T16:34:14.738Z","2.216","0.0484","0.2348","0.0024","1/16/2025, 10:34:15"
"IOB-Air-Gen4-12062024","2025-01-16T16:29:45.773Z","2.196","0.0456","0.29","0","1/16/2025, 10:29:46"
"G-VOC","2025-01-16T16:29:06.630Z","2.2","0.0504","0.2324","0.002","1/16/2025, 10:29:07"
"G-VOC","2025-01-16T16:28:38.630Z","2.184","0.0504","0.2364","0.0016","1/16/2025, 10:28:39"
"G-VOC","2025-01-16T16:28:10.662Z","2.148","0.05","0.2348","0.0016","1/16/2025, 10:28:11"
"G-VOC","2025-01-16T16:27:42.636Z","2.224","0.0504","0.2336","0.002","1/16/2025, 10:27:42"
"G-VOC","2025-01-16T16:27:14.621Z","2.252","0.0496","0.232","0.002","1/16/2025, 10:27:15"
"G-VOC","2025-01-16T16:26:46.599Z","2.244","0.0492","0.2328","0.002","1/16/2025, 10:26:47"
"G-VOC","2025-01-16T16:26:18.600Z","2.196","0.0496","0.2356","0.0024","1/16/2025, 10:26:18"
"G-VOC","2025-01-16T16:25:50.620Z","2.16","0.05","0.234","0.0016","1/16/2025, 10:25:51"
"G-VOC","2025-01-16T16:25:22.587Z","2.172","0.05","0.2352","0.002","1/16/2025, 10:25:23"
